,Date,Station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,Avg
28,29-01-2018,McMug,16.33333333,0.225,2.733333333,2.8375,5.554166667,42.375,38.20833333,14.66666667,14.66666667,88.95833333,1.866666667,72.5,69.95833333,6.575,2.9375,26
29,30-01-2018,McMug,15.83333333,0.2775,2.1,2.658333333,4.758333333,46.41666667,62.95833333,29.33333333,29.33333333,86.875,2.070833333,75.54166667,74.16666667,7.391666667,3.454166667,30
30,31-01-2018,McMug,15.29166667,0.290416667,3.466666667,5.333333333,8.745833333,43.79166667,50.95833333,23.95833333,23.95833333,78.79166667,3.466666667,71.66666667,73.70833333,6.520833333,3.158333333,28
31,01-02-2018,McMug,15.375,0.327083333,3.058333333,4.7,7.754166667,39.29166667,47.125,67.08333333,61.90833333,84.04166667,1.945833333,93.54166667,95.41666667,4.370833333,1.470833333,36
32,02-02-2018,McMug,15.58333333,0.329583333,3.7375,4.333333333,8.066666667,41.16666667,55.58333333,21.16666667,20.13333333,81.29166667,2.6,73.75,78.91666667,7.2,3.633333333,28
33,03-02-2018,McMug,14.375,0.287916667,5.0875,7.029166667,12.1125,28.875,22.04166667,7.666666667,7.666666667,81.95833333,2.720833333,63.04166667,65.125,5.720833333,3.05,22
34,04-02-2018,McMug,16.125,0.267916667,3.066666667,7.8875,10.89166667,28.82916667,32.95833333,16.66666667,16.66666667,84.29166667,2.858333333,78.04166667,73.95833333,4.1,1.745833333,26
35,05-02-2018,McMug,16.58333333,0.31125,3.808333333,7.3375,11.13333333,27.25,50.91666667,33.58333333,33.58333333,86.125,2.179166667,111.7,121.7916667,3.004166667,1.0125,35
36,06-02-2018,McMug,21.08333333,0.335833333,2.891666667,8.1125,10.9375,25.27083333,59.33333333,36.33333333,35.175,84.58333333,3.216666667,145.375,161.5833333,3.1125,2.429166667,40
37,07-02-2018,McMug,15.79166667,0.5425,2.708333333,8.695833333,11.37083333,28.91666667,43.16666667,23.25,22.25833333,84.5,3.895833333,114.2083333,115.2083333,6.7625,4.158333333,33
38,08-02-2018,McMug,11.08333333,0.339583333,2.808333333,13.44583333,16.3,22.19583333,34.91666667,22,17.26666667,85.75,4.5625,61.375,59.66666667,6.558333333,4.066666667,25
39,09-02-2018,McMug,13.29166667,0.305833333,5.308333333,10.37916667,15.60833333,25.54166667,35.41666667,18.33333333,18.33333333,82.625,3.591666667,65.33333333,60.79166667,4.433333333,2.033333333,25
40,10-02-2018,McMug,14.20833333,0.340833333,3.529166667,7.566666667,10.98333333,27.5,56.875,33.16666667,33.16666667,90.125,2.758333333,67,68.79166667,4.804166667,2.245833333,29
41,11-02-2018,McMug,14.75,0.248333333,2.945833333,2.941666667,5.883333333,34.16666667,35.08333333,13.45833333,13.45833333,89.66666667,2.058333333,71.20833333,74.5,6.5875,3.116666667,25
42,12-02-2018,McMug,14.66666667,0.314583333,2.341666667,4.620833333,6.958333333,31.20833333,52.75,28.16666667,28.16666667,91,1.745833333,78.70833333,77.58333333,4.433333333,1.883333333,29
43,13-02-2018,McMug,18.04166667,0.395833333,5.341666667,12.40833333,17.725,28.64583333,50.75,29,29,80,2.604166667,97.70833333,85.625,3.0875,1.458333333,31
44,14-02-2018,McMug,17.5,0.62,7.1125,18.65416667,25.65833333,17.03333333,64.5,44.16666667,44.16666667,85.54166667,2.770833333,99.74166667,118.5,2.808333333,0.7625,37
45,15-02-2018,McMug,16.25,0.509583333,3.359166667,9.500833333,11.25083333,24.94583333,52.33333333,26,26,90.08333333,4.883333333,72.45833333,74.04166667,5.075,2.079166667,28
46,16-02-2018,McMug,14.66666667,0.240833333,3.1375,4.075,6.708333333,40.25,53.16666667,19.16666667,19.16666667,88.95833333,2.0625,78.41666667,74.45833333,7.445833333,4.095833333,28
47,17-02-2018,McMug,13.29166667,0.254583333,1.995833333,2.520833333,4.516666667,44.54166667,61.25,24,24,86.375,2.1875,71.75,72.08333333,8.8875,4.808333333,29
48,18-02-2018,McMug,13.16666667,0.315833333,3.166666667,7.020833333,10.17916667,38.41666667,99.08333333,39.75,39.75,73.45833333,4.708333333,71.66666667,72.83333333,8.641666667,4.85,33
49,19-02-2018,McMug,13.45833333,0.233333333,1.816666667,5.758333333,7.608333333,36.79166667,57.125,20.75,20.75,78.625,3.0125,72.41666667,72.41666667,6.795833333,3.258333333,27
50,20-02-2018,McMug,14.70833333,0.247916667,2.104166667,4.545833333,6.633333333,39.125,58.875,24.45833333,24.45833333,86.875,1.2375,68.91666667,83.20833333,4.570833333,1.929166667,29
51,21-02-2018,McMug,15,0.305416667,3.479166667,7.4875,10.9875,35.5,84.79166667,44.5,40.475,90.375,1.625,84.08333333,112.25,2.658333333,0.916666667,36
52,22-02-2018,McMug,19.58333333,0.36625,3.033333333,15.05416667,18.16666667,34.66666667,83.91666667,58.25,58.25,78.95833333,4.104166667,137.5541667,135.9166667,1.770833333,0.8625,44
53,23-02-2018,McMug,22.125,0.39375,4.379166667,13.41666667,17.74166667,25.27916667,67.83333333,51.08333333,47.25833333,84.5,3.245833333,127.0666667,153.7083333,2.004166667,1.0875,42
54,24-02-2018,McMug,18.04166667,0.482916667,3.545833333,9.283333333,12.7875,29.83333333,50.95833333,30.58333333,26.30833333,89.79166667,2.320833333,58.625,55.94583333,3.833333333,1.879166667,27
55,25-02-2018,McMug,16.625,0.475,3.475,12.72916667,16.175,28.54166667,42.625,26.375,17.01666667,88.75,3.670833333,56.5,63.08333333,4.85,2.791666667,26
56,26-02-2018,McMug,13.125,0.262916667,2.5625,8.166666667,10.69583333,31.5,22.125,9.083333333,8.433333333,88.375,3.3,62.625,62.45833333,7.116666667,4.1875,23
57,27-02-2018,McMug,12.91666667,0.223333333,2.529166667,5.195833333,7.704166667,37.66666667,25.29166667,10.20833333,8.55,90.66666667,2.370833333,63.79166667,62.29166667,6.170833333,3.333333333,23
58,28-02-2018,McMug,13.125,0.229166667,1.820833333,7.0375,8.825,32.3125,16.58333333,7.708333333,7.225,91,5.3625,78.20833333,80.79166667,4.720833333,2.454166667,24
59,29-02-2018,McMug,14.79166667,0.264166667,2.1375,6.829166667,8.979166667,35.49166667,46.29166667,21.58333333,21.58333333,87.95833333,8.833333333,65.16666667,73.70833333,5.116666667,2.2625,27
60,01-03-2018,McMug,17.08333333,0.326666667,4.075,8.516666667,12.56666667,32.125,50.75,32.66666667,32.66666667,84.33333333,1.670833333,60.91666667,99.29166667,3.158333333,1.2,30
61,02-03-2018,McMug,19.08333333,0.384583333,3.695833333,11.40416667,15.0625,28.87083333,53.5,33.125,33.125,83.20833333,2.383333333,92.45833333,98.375,3.35,1.254166667,32
62,03-03-2018,McMug,16.33333333,0.477916667,3.904166667,9.75,13.725,32.79166667,61.79166667,37.75,37.75,88.375,2.1625,72.58333333,69,5.504166667,2.5,31
63,04-03-2018,McMug,12.7125,1.367916667,3.575,6.616666667,9.045833333,27.40416667,42.25416667,31.54583333,29.25416667,52.42083333,3,55.25416667,56.37916667,3.079166667,1.6375,23
64,05-03-2018,McMug,22.70833333,0.46875,8.945833333,11.39166667,20.41666667,20.88333333,69.66666667,31.16666667,31.16666667,79.70833333,2.208333333,167.5416667,195.0833333,2.708333333,2.420833333,45
65,06-03-2018,McMug,21.45833333,0.524583333,7.9125,11.55833333,19.47083333,25.40416667,77.66666667,41.16666667,41.16666667,83.75,2.679166667,149.5416667,129.9041667,2.879166667,0.808333333,42
66,07-03-2018,McMug,18,0.722083333,3.054166667,8.9625,12.07083333,41,67.375,38.875,38.875,86.875,2.6875,74.58333333,90,4.954166667,2.2375,33
67,08-03-2018,McMug,17.5,0.583333333,3.408333333,9.4875,12.93333333,38.95833333,45.20833333,22.33333333,22.33333333,85.75,2.525,66.25,64.79166667,4.958333333,2.441666667,27
68,09-03-2018,McMug,14.45833333,0.411666667,3.225,14.90833333,18.0875,33.91666667,32.5,16.54166667,16.3,87.04166667,4.791666667,60.375,64.41666667,6.375,3.825,26
69,10-03-2018,McMug,13.25,0.272916667,2.766666667,12.025,14.74166667,35.25,38.66666667,17.16666667,16.43333333,82.41666667,4.8625,62.75,63.91666667,6.975,4.1,26
70,11-03-2018,McMug,13.54166667,0.277916667,1.95,11.27916667,13.16666667,39.5,45.79166667,28.16666667,21.08333333,86.25,5.245833333,62.125,63.58333333,6.429166667,3.754166667,27
71,12-03-2018,McMug,14.20833333,0.399166667,2.5875,10.39166667,12.95833333,45.29166667,63.79166667,44.75,29.69166667,89.5,4.033333333,58.45833333,61.20833333,5.045833333,2.795833333,30
72,13-03-2018,McMug,14.95833333,0.21125,1.65,5.0875,6.720833333,43.29166667,38.16666667,18.41666667,17.94166667,86.66666667,2.4625,66.20833333,70.29166667,6.333333333,3.258333333,26
73,14-03-2018,McMug,16.04166667,0.209166667,2.291666667,8.066666667,10.35416667,38.25,33.5,15.08333333,15.08333333,89.41666667,2.241666667,64.95833333,65.20833333,5.145833333,2.425,25
74,15-03-2018,McMug,16.20833333,0.255,1.695833333,7.691666667,9.433333333,39.45833333,42.83333333,28.91666667,28.91666667,88.875,2.041666667,73.79166667,81.66666667,3.966666667,1.6125,29
75,16-03-2018,McMug,21.75,0.448333333,3.608333333,13.7375,17.3625,36.0875,73.95833333,43.79166667,43.79166667,78.95833333,3.55,114.25,133.5,1.766666667,1.283333333,40
76,17-03-2018,McMug,25.625,0.388333333,3.320833333,11.19166667,14.45416667,30.89583333,79.04166667,50.08333333,50.08333333,80.29166667,2.804166667,138.25,143.3666667,2.033333333,1.8375,43
77,18-03-2018,McMug,25.54166667,0.244583333,2.254166667,7.170833333,9.479166667,24.10833333,50.29166667,25.20833333,25.20833333,82.70833333,3.070833333,163.4166667,160.1666667,2.7125,1.716666667,39
78,19-03-2018,McMug,21.41666667,0.399583333,1.5125,8.3625,9.9,46.07083333,91.45833333,44.25,44.25,85.29166667,2.5,71.83333333,91.04166667,4.545833333,1.641666667,35
79,20-03-2018,McMug,20.91666667,0.36125,2.366666667,8.7625,11.1,37,64.625,36.625,36.625,85.33333333,2.479166667,60.95833333,78.29166667,5.054166667,2.3625,31
80,21-03-2018,McMug,19.625,0.25625,1.866666667,8.641666667,10.4125,43.04166667,52.83333333,18,18,80.25,2.575,63.75,64,5.8125,3.241666667,27
81,22-03-2018,McMug,21.08333333,0.333333333,1.491666667,8.533333333,10.02916667,47,67.75,33.79166667,33.79166667,84.875,1.9875,109.925,109.7083333,2.758333333,0.975,36
82,23-03-2018,McMug,24.04166667,0.39375,2.725,9.629166667,12.4375,41.6625,73.125,43.125,43.125,75.33333333,3.770833333,129.7083333,129.75,3.7,2.25,40
83,24-03-2018,McMug,14.54166667,0.389583333,2.108333333,12.66666667,14.8375,36.125,148.625,32.125,32.125,61.75,4.766666667,59.58333333,59.58333333,7.191666667,4.6875,33
84,25-03-2018,McMug,17.875,0.3275,2.2125,11.275,13.30416667,43.29166667,66.29166667,19.5,19.5,55.79166667,4.6375,62.75,60.91666667,3.479166667,2.175,26
85,26-03-2018,McMug,19.625,0.345,2.4625,14.60416667,16.9875,44.8125,59.45833333,27.5,27.5,62.33333333,3.8875,98.775,114.6666667,2.145833333,1.245833333,34
86,27-03-2018,McMug,22,0.36875,3.175,13.24166667,16.5125,55.95833333,83.83333333,44.125,44.125,63.875,3.579166667,161.0833333,142.5,1.954166667,1.341666667,44
87,28-03-2018,McMug,21.95833333,0.39875,2.908333333,12.14583333,15.04583333,52.1375,102.7916667,62.70833333,62.70833333,73.5,2.983333333,156.0208333,179.0541667,1.770833333,0.804166667,50
88,29-03-2018,McMug,20.0125,0.334583333,2.441666667,10.93333333,13.29583333,41.79166667,98.54166667,57.16666667,52.5,70.58333333,2.7,96.41666667,108.7458333,14.525,0.8875,40
89,30-03-2018,McMug,23.25,0.373333333,2.3875,13.99166667,16.425,44.44583333,90.83333333,45.95833333,45.95833333,67.41666667,4.629166667,114.8458333,131.375,1.658333333,0.966666667,41
90,31-03-2018,McMug,21.41666667,0.347916667,1.233333333,9.4,10.64583333,50.67083333,161.9166667,39.58333333,39.58333333,66.125,2.95,86.04166667,92.66666667,6.3875,3.475,40
91,01-04-2018,McMug,21.70833333,0.367083333,1.754166667,14.6125,16.2625,49.125,82.54166667,29.83333333,29.83333333,61.29166667,5.525,185.1666667,205.375,1.645833333,1.275,48
92,02-04-2018,McMug,23.20833333,0.347083333,1.525,11.48333333,12.9125,47.125,113.7916667,39.16666667,34.83333333,76.83333333,3.3875,135.1125,150.6916667,1.2625,0.866666667,44
93,03-04-2018,McMug,24.5,0.407916667,2.454166667,12.6125,15.0625,37.45833333,111.875,51.66666667,51.66666667,76.54166667,3.3375,125.1666667,121.5083333,2.770833333,1.070833333,43
